Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	"Protein class"	"Biological process"	"Molecular function"	Evidence	"RNA tissue specificity"	Interactions	"Subcellular main location"
ACAD9	"MGC14452, NPD002"	ENSG00000177646	"Acyl-CoA dehydrogenase family member 9"	Q9H845	"Disease related genes, Human disease related genes, Metabolic proteins, Predicted intracellular proteins"		Oxidoreductase	"Evidence at protein level"	"Low tissue specificity"	60	Mitochondria
ACADL	"ACAD4, LCAD"	ENSG00000115361	"Acyl-CoA dehydrogenase long chain"	P28330	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Fatty acid metabolism, Lipid metabolism"	Oxidoreductase	"Evidence at protein level"	"Tissue enhanced"	4	
ACADM	"ACAD1, MCAD, MCADH"	ENSG00000117054	"Acyl-CoA dehydrogenase medium chain"	P11310	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Fatty acid metabolism, Lipid metabolism"	Oxidoreductase	"Evidence at protein level"	"Tissue enhanced"	12	Mitochondria
ACADS	"ACAD3, SCAD"	ENSG00000122971	"Acyl-CoA dehydrogenase short chain"	P16219	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Fatty acid metabolism, Lipid metabolism"	Oxidoreductase	"Evidence at protein level"	"Tissue enhanced"	1	Mitochondria
ACADSB	"ACAD7, SBCAD"	ENSG00000196177	"Acyl-CoA dehydrogenase short/branched chain"	P45954	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Fatty acid metabolism, Lipid metabolism"	Oxidoreductase	"Evidence at protein level"	"Tissue enhanced"	6	Mitochondria
ACADVL	"ACAD6, LCACD, VLCAD"	ENSG00000072778	"Acyl-CoA dehydrogenase very long chain"	P49748	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Fatty acid metabolism, Lipid metabolism"	Oxidoreductase	"Evidence at protein level"	"Low tissue specificity"	10	Mitochondria
ACAP2	"CENTB2, CNT-B2, KIAA0041"	ENSG00000114331	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2"	Q15057	"Plasma proteins, Predicted intracellular proteins"		"GTPase activation"	"Evidence at protein level"	"Low tissue specificity"	7	Endosomes
ACAP3	"CENTB5, KIAA1716"	ENSG00000131584	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3"	Q96P50	"Predicted intracellular proteins"		"GTPase activation"	"Evidence at protein level"	"Tissue enhanced"	5	Nucleoplasm
ACAT1	"ACAT, THIL"	ENSG00000075239	"Acetyl-CoA acetyltransferase 1"	P24752	"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Fatty acid metabolism, Lipid metabolism"	"Acyltransferase, Transferase"	"Evidence at protein level"	"Tissue enhanced"	15	Mitochondria
ACAT2		ENSG00000120437	"Acetyl-CoA acetyltransferase 2"	Q9BWD1	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"		"Acyltransferase, Transferase"	"Evidence at protein level"	"Tissue enhanced"	3	Cytosol
ACBD3	"GCP60, GOCAP1, GOLPH1, PAP7"	ENSG00000182827	"Acyl-CoA binding domain containing 3"	Q9H3P7	"Plasma proteins, Predicted intracellular proteins, Transporters"	"Host-virus interaction, Lipid biosynthesis, Lipid metabolism, Steroid biosynthesis"		"Evidence at protein level"	"Low tissue specificity"	23	"Golgi apparatus"
ACBD4	FLJ13322	ENSG00000181513	"Acyl-CoA binding domain containing 4"	Q8NC06	"Predicted intracellular proteins, Predicted membrane proteins"			"Evidence at protein level"	"Tissue enhanced"	7	"Nucleoplasm, Vesicles"
ACBD5	"DKFZp434A2417, KIAA1996"	ENSG00000107897	"Acyl-CoA binding domain containing 5"	Q5T8D3	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Autophagy, Transport"		"Evidence at protein level"	"Low tissue specificity"	16	Peroxisomes
ACBD6	MGC2404	ENSG00000230124	"Acyl-CoA binding domain containing 6"	Q9BR61	"Predicted intracellular proteins"			"Evidence at protein level"	"Low tissue specificity"	7	Nucleoplasm
ACCS	"ACS, PHACS"	ENSG00000110455	"1-aminocyclopropane-1-carboxylate synthase homolog (inactive)"	Q96QU6	"Predicted intracellular proteins"			"Evidence at protein level"	"Low tissue specificity"	1	"Golgi apparatus"
ACD	"Pip1, Ptop, Tint1, Tpp1"	ENSG00000102977	"ACD shelterin complex subunit and telomerase recruitment factor"	Q96AP0	"Disease related genes, Essential proteins, Human disease related genes, Predicted intracellular proteins"		DNA-binding	"Evidence at protein level"	"Low tissue specificity"	41	"Nuclear bodies"
ACE	"ACE1, CD143, DCP1"	ENSG00000159640	"Angiotensin I converting enzyme"	P12821	"Candidate cardiovascular disease genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"		"Calmodulin-binding, Carboxypeptidase, Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"	"Tissue enhanced"	4	Vesicles
ACER2	"ALKCDase2, ASAH3L, FLJ41587"	ENSG00000177076	"Alkaline ceramidase 2"	Q5QJU3	"Enzymes, Metabolic proteins, Predicted membrane proteins"	"Lipid metabolism, Sphingolipid metabolism"	Hydrolase	"Evidence at protein level"	"Group enriched"		
ACER3	"APHC, FLJ11238, PHCA"	ENSG00000078124	"Alkaline ceramidase 3"	Q9NUN7	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins"	"Lipid metabolism, Sphingolipid metabolism"	Hydrolase	"Evidence at protein level"	"Low tissue specificity"		
ACHE	YT	ENSG00000087085	"Acetylcholinesterase (Cartwright blood group)"	P22303	"Blood group antigen proteins, Enzymes, FDA approved drug targets, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Neurotransmitter degradation"	"Blood group antigen, Hydrolase, Serine esterase"	"Evidence at protein level"	"Group enriched"	3	"Golgi apparatus"
ACIN1	"ACINUS, fSAP152, KIAA0670"	ENSG00000100813	"Apoptotic chromatin condensation inducer 1"	Q9UKV3	"Essential proteins, Plasma proteins, Predicted intracellular proteins, Transporters"	"Apoptosis, mRNA processing, mRNA splicing"	RNA-binding	"Evidence at protein level"	"Low tissue specificity"	83	Nucleoplasm
ACKR1	"CCBP1, CD234, DARC, Dfy, FY, GPD"	ENSG00000213088	"Atypical chemokine receptor 1 (Duffy blood group)"	Q16570	"Blood group antigen proteins, CD markers, G-protein coupled receptors, Predicted membrane proteins, Transporters"		"Blood group antigen, G-protein coupled receptor, Receptor, Transducer"	"Evidence at protein level"	"Tissue enhanced"		
ACKR3	"CMKOR1, CXCR7, GPR159, RDC1"	ENSG00000144476	"Atypical chemokine receptor 3"	P25106	"Cancer-related genes, Disease related genes, G-protein coupled receptors, Potential drug targets, Predicted membrane proteins"	"Cell adhesion, Host-virus interaction"	"Developmental protein, G-protein coupled receptor, Receptor, Transducer"	"Evidence at protein level"	"Low tissue specificity"	6	"Vesicles, Plasma membrane"
ACLY	"ACL, ATPCL, CLATP"	ENSG00000131473	"ATP citrate lyase"	P53396	"Cancer-related genes, Citric acid cycle related proteins, Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Lipid biosynthesis, Lipid metabolism"	Transferase	"Evidence at protein level"	"Low tissue specificity"	39	Cytosol
ACO1	"IREB1, IREBP, IRP1"	ENSG00000122729	"Aconitase 1"	P21399	"Cancer-related genes, Citric acid cycle related proteins, Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Tricarboxylic acid cycle"	"Lyase, RNA-binding"	"Evidence at protein level"	"Tissue enhanced"	6	"Mitochondria, Cytosol"
ACO2	ACONM	ENSG00000100412	"Aconitase 2"	Q99798	"Citric acid cycle related proteins, Disease related genes, Enzymes, Essential proteins, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Tricarboxylic acid cycle"	Lyase	"Evidence at protein level"	"Tissue enhanced"	10	Mitochondria
ACOT1	"ACH2, CTE-1, LACH2"	ENSG00000184227	"Acyl-CoA thioesterase 1"	Q86TX2	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Fatty acid metabolism, Lipid metabolism"	"Hydrolase, Serine esterase"	"Evidence at protein level"	"Tissue enhanced"	8	Mitochondria
ACOT11	"BFIT, BFIT1, KIAA0707, STARD14, THEA, THEM1"	ENSG00000162390	"Acyl-CoA thioesterase 11"	Q8WXI4	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Fatty acid metabolism, Lipid metabolism"	"Hydrolase, Serine esterase"	"Evidence at protein level"	"Tissue enhanced"		Cytosol
ACOT13	"HT012, THEM2"	ENSG00000112304	"Acyl-CoA thioesterase 13"	Q9NPJ3	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Lipid metabolism"	Hydrolase	"Evidence at protein level"	"Tissue enhanced"	6	"Cell Junctions"
ACOT2	"Mte1, ZAP128"	ENSG00000119673	"Acyl-CoA thioesterase 2"	P49753	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Fatty acid metabolism, Lipid metabolism"	"Hydrolase, Serine esterase"	"Evidence at protein level"	"Low tissue specificity"	7	Mitochondria
ACOT6	C14orf42	ENSG00000205669	"Acyl-CoA thioesterase 6"	Q3I5F7	"Metabolic proteins, Predicted intracellular proteins"		"Hydrolase, Serine esterase"	"Evidence at protein level"	"Tissue enhanced"	2	
ACOT7	"ACH1, ACT, BACH, CTE-II, hBACH, LACH1, MGC1126"	ENSG00000097021	"Acyl-CoA thioesterase 7"	O00154	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Fatty acid metabolism, Lipid metabolism"	"Hydrolase, Serine esterase"	"Evidence at protein level"	"Tissue enhanced"	13	Cytosol
ACOT8	"hACTE-III, hTE, NAP1, PTE-2, PTE1"	ENSG00000101473	"Acyl-CoA thioesterase 8"	O14734	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Fatty acid metabolism, Host-virus interaction, Lipid metabolism, Peroxisome biogenesis"	"Hydrolase, Serine esterase"	"Evidence at protein level"	"Low tissue specificity"	9	Vesicles
ACOT9	"ACATE2, CGI-16, MT-ACT48"	ENSG00000123130	"Acyl-CoA thioesterase 9"	Q9Y305	"Metabolic proteins, Predicted intracellular proteins"	"Fatty acid metabolism, Lipid metabolism"	"Hydrolase, Serine esterase"	"Evidence at protein level"	"Low tissue specificity"	8	"Plasma membrane, Cytosol"
ACOX1	PALMCOX	ENSG00000161533	"Acyl-CoA oxidase 1"	Q15067	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Fatty acid metabolism, Lipid metabolism"	Oxidoreductase	"Evidence at protein level"	"Tissue enhanced"	3	Peroxisomes
ACOX2	"BRCACOX, BRCOX, THCCox"	ENSG00000168306	"Acyl-CoA oxidase 2"	Q99424	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Fatty acid metabolism, Lipid metabolism"	Oxidoreductase	"Evidence at protein level"	"Tissue enriched"	2	Vesicles
ACOX3		ENSG00000087008	"Acyl-CoA oxidase 3, pristanoyl"	O15254	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Fatty acid metabolism, Lipid metabolism"	Oxidoreductase	"Evidence at protein level"	"Low tissue specificity"	4	Peroxisomes
ACOXL	FLJ11042	ENSG00000153093	"Acyl-CoA oxidase like"	Q9NUZ1	"Predicted intracellular proteins"		Oxidoreductase	"Evidence at protein level"	"Tissue enhanced"		Cytosol
ACP1	"HAAP, LMW-PTP, LMWPTP"	ENSG00000143727	"Acid phosphatase 1"	P24666	"Enzymes, Plasma proteins, Predicted intracellular proteins"		"Hydrolase, Protein phosphatase"	"Evidence at protein level"	"Low tissue specificity"	5	Nucleoplasm
ACP2	LAP	ENSG00000134575	"Acid phosphatase 2, lysosomal"	P11117	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"		Hydrolase	"Evidence at protein level"	"Low tissue specificity"	29	
ACP5	"HPAP, TRAcP, TRAP"	ENSG00000102575	"Acid phosphatase 5, tartrate resistant"	P13686	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"		Hydrolase	"Evidence at protein level"	"Tissue enhanced"	2	Cytosol
ACP6	"ACPL1, LPAP"	ENSG00000162836	"Acid phosphatase 6, lysophosphatidic"	Q9NPH0	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Lipid metabolism, Phospholipid metabolism"	Hydrolase	"Evidence at protein level"	"Low tissue specificity"		
ACSF2	"ACSMW, FLJ20920"	ENSG00000167107	"Acyl-CoA synthetase family member 2"	Q96CM8	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Fatty acid metabolism, Lipid metabolism"	Ligase	"Evidence at protein level"	"Tissue enhanced"	44	"Nucleoplasm, Microtubules, Cytosol"
ACSF3		ENSG00000176715	"Acyl-CoA synthetase family member 3"	Q4G176	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Fatty acid metabolism, Lipid metabolism"	Ligase	"Evidence at protein level"	"Low tissue specificity"	29	Mitochondria
ACSL1	"ACS1, FACL1, FACL2, LACS, LACS1, LACS2"	ENSG00000151726	"Acyl-CoA synthetase long chain family member 1"	P33121	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Fatty acid metabolism, Lipid metabolism"	Ligase	"Evidence at protein level"	"Tissue enhanced"	1	Vesicles
ACSL3	"ACS3, FACL3, PRO2194"	ENSG00000123983	"Acyl-CoA synthetase long chain family member 3"	O95573	"Cancer-related genes, Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Fatty acid metabolism, Lipid metabolism"	Ligase	"Evidence at protein level"	"Tissue enhanced"	22	"Nucleoli, Nucleoli rim"
ACSL4	"ACS4, FACL4, LACS4, MRX63, MRX68"	ENSG00000068366	"Acyl-CoA synthetase long chain family member 4"	O60488	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Fatty acid metabolism, Lipid metabolism"	Ligase	"Evidence at protein level"	"Low tissue specificity"	11	"Golgi apparatus"
ACSL5	"ACS2, ACS5, FACL5"	ENSG00000197142	"Acyl-CoA synthetase long chain family member 5"	Q9ULC5	"Enzymes, Metabolic proteins, Plasma proteins, Predicted membrane proteins"	"Fatty acid metabolism, Lipid metabolism"	Ligase	"Evidence at protein level"	"Tissue enhanced"	9	Mitochondria
ACSL6	"ACS2, FACL6, KIAA0837, LACS2, LACS5"	ENSG00000164398	"Acyl-CoA synthetase long chain family member 6"	Q9UKU0	"Disease related genes, Enzymes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Fatty acid metabolism, Lipid metabolism"	Ligase	"Evidence at protein level"	"Tissue enhanced"		Vesicles
ACSM5	FLJ20581	ENSG00000183549	"Acyl-CoA synthetase medium chain family member 5"	Q6NUN0	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Fatty acid metabolism, Lipid metabolism"	Ligase	"Evidence at protein level"	"Tissue enriched"		Vesicles
ACSS1	"ACAS2L, AceCS2L, dJ568C11.3, MGC33843"	ENSG00000154930	"Acyl-CoA synthetase short chain family member 1"	Q9NUB1	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Lipid metabolism"	Ligase	"Evidence at protein level"	"Tissue enhanced"	2	
ACSS2	"ACAS2, AceCS, ACS, ACSA, dJ1161H23.1"	ENSG00000131069	"Acyl-CoA synthetase short chain family member 2"	Q9NR19	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Lipid metabolism, Transcription, Transcription regulation"	"Activator, Ligase"	"Evidence at protein level"	"Tissue enhanced"		Nucleoplasm
ACSS3	FLJ21963	ENSG00000111058	"Acyl-CoA synthetase short chain family member 3"	Q9H6R3	"Enzymes, Metabolic proteins, Predicted membrane proteins"	"Lipid metabolism"	Ligase	"Evidence at protein level"	"Tissue enhanced"	2	Mitochondria
ACTA1	"ACTA, NEM3"	ENSG00000143632	"Actin alpha 1, skeletal muscle"	P68133	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"		"Hydrolase, Muscle protein"	"Evidence at protein level"	"Tissue enriched"	45	
ACTA2	ACTSA	ENSG00000107796	"Actin alpha 2, smooth muscle"	P62736	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"		"Hydrolase, Muscle protein"	"Evidence at protein level"	"Tissue enhanced"	56	"Actin filaments"
ACTB		ENSG00000075624	"Actin beta"	P60709	"Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins"		Hydrolase	"Evidence at protein level"	"Low tissue specificity"	444	
ACTC1	"ACTC, CMD1R"	ENSG00000159251	"Actin alpha cardiac muscle 1"	P68032	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"		"Hydrolase, Muscle protein"	"Evidence at protein level"	"Tissue enriched"	107	
ACTG1	"ACTG, DFNA20, DFNA26"	ENSG00000184009	"Actin gamma 1"	P63261	"Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins"		Hydrolase	"Evidence at protein level"	"Low tissue specificity"	236	
ACTG2	"ACTA3, ACTL3, ACTSG"	ENSG00000163017	"Actin gamma 2, smooth muscle"	P63267	"Disease related genes, Human disease related genes, Predicted intracellular proteins"		"Hydrolase, Muscle protein"	"Evidence at protein level"	"Tissue enhanced"	4	
